DEBUG 2024-08-08 07:32:02,346 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1721548315.982885
DEBUG 2024-08-08 07:32:02,347 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1721548315.8448155
DEBUG 2024-08-08 07:32:02,348 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1721548315.628672
DEBUG 2024-08-08 07:32:02,349 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\__init__.py first seen with mtime 1721548316.098498
DEBUG 2024-08-08 07:32:02,349 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1721548315.82919
DEBUG 2024-08-08 07:32:02,350 autoreload File C:\Python311\Lib\asyncio\events.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,351 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1721548311.9883823
DEBUG 2024-08-08 07:32:02,351 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1721548315.8846285
DEBUG 2024-08-08 07:32:02,352 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\signals.py first seen with mtime 1721548315.6442957
DEBUG 2024-08-08 07:32:02,353 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\inspect.py first seen with mtime 1721548316.0672476
DEBUG 2024-08-08 07:32:02,354 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1721548313.3451383
DEBUG 2024-08-08 07:32:02,355 autoreload File C:\Python311\Lib\locale.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,356 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1721548316.0828724
DEBUG 2024-08-08 07:32:02,357 autoreload File C:\Users\777\Documents\project\shop\main\models.py first seen with mtime 1721548761.6531065
DEBUG 2024-08-08 07:32:02,357 autoreload File C:\Python311\Lib\typing.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,358 autoreload File C:\Users\777\Documents\project\shop\goods\__init__.py first seen with mtime 1721843234.6495974
DEBUG 2024-08-08 07:32:02,359 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1721548312.7159421
DEBUG 2024-08-08 07:32:02,359 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\http.py first seen with mtime 1721548316.0672476
DEBUG 2024-08-08 07:32:02,360 autoreload File C:\Python311\Lib\sqlite3\dbapi2.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,361 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1721548316.051619
DEBUG 2024-08-08 07:32:02,361 autoreload File C:\Python311\Lib\asyncio\staggered.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,362 autoreload File C:\Users\777\Documents\project\shop\orders\admin.py first seen with mtime 1723048226.3060224
DEBUG 2024-08-08 07:32:02,363 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1721548315.813567
DEBUG 2024-08-08 07:32:02,364 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1721548315.82919
DEBUG 2024-08-08 07:32:02,365 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1721548315.8718529
DEBUG 2024-08-08 07:32:02,365 autoreload File C:\Python311\Lib\email\mime\__init__.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,366 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1721548311.3407197
DEBUG 2024-08-08 07:32:02,367 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1721548316.098498
DEBUG 2024-08-08 07:32:02,367 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1721548315.6820548
DEBUG 2024-08-08 07:32:02,368 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1721548315.7510612
DEBUG 2024-08-08 07:32:02,369 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1721548312.0040073
DEBUG 2024-08-08 07:32:02,370 autoreload File C:\Python311\Lib\getpass.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,371 autoreload File C:\Python311\Lib\statistics.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,371 autoreload File C:\Python311\Lib\asyncio\subprocess.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,372 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1721548315.8728526
DEBUG 2024-08-08 07:32:02,373 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1721548312.7189412
DEBUG 2024-08-08 07:32:02,374 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\template\loader.py first seen with mtime 1721548316.0154474
DEBUG 2024-08-08 07:32:02,375 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1721548315.7445533
DEBUG 2024-08-08 07:32:02,376 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1721548316.0828724
DEBUG 2024-08-08 07:32:02,377 autoreload File C:\Python311\Lib\email\parser.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,378 autoreload File C:\Python311\Lib\re\_casefix.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,380 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1721548315.6820548
DEBUG 2024-08-08 07:32:02,382 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1721548315.7979403
DEBUG 2024-08-08 07:32:02,383 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1721548311.9883823
DEBUG 2024-08-08 07:32:02,384 autoreload File C:\Python311\Lib\hashlib.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,385 autoreload File C:\Python311\Lib\dis.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,386 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\debug.py first seen with mtime 1721548316.098498
DEBUG 2024-08-08 07:32:02,387 autoreload File C:\Python311\Lib\signal.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,387 autoreload File C:\Users\777\Documents\project\shop\users\views.py first seen with mtime 1723010898.8644521
DEBUG 2024-08-08 07:32:02,388 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1721548313.067004
DEBUG 2024-08-08 07:32:02,388 autoreload File C:\Users\777\Documents\project\shop\carts\apps.py first seen with mtime 1722703220.4432147
DEBUG 2024-08-08 07:32:02,389 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1721548314.9805965
DEBUG 2024-08-08 07:32:02,390 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1721548312.6969483
DEBUG 2024-08-08 07:32:02,391 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\files\images.py first seen with mtime 1721548315.6664276
DEBUG 2024-08-08 07:32:02,391 autoreload File C:\Users\777\Documents\project\shop\users\__init__.py first seen with mtime 1722352809.5379927
DEBUG 2024-08-08 07:32:02,392 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1721548315.82919
DEBUG 2024-08-08 07:32:02,393 autoreload File C:\Python311\Lib\sqlite3\__init__.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,393 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\template\base.py first seen with mtime 1721548315.9985094
DEBUG 2024-08-08 07:32:02,394 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1721548315.7979403
DEBUG 2024-08-08 07:32:02,395 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1721548316.036441
DEBUG 2024-08-08 07:32:02,396 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1721548316.098498
DEBUG 2024-08-08 07:32:02,397 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\http\response.py first seen with mtime 1721548315.982885
DEBUG 2024-08-08 07:32:02,397 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1721548315.7510612
DEBUG 2024-08-08 07:32:02,398 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1721548316.1141284
DEBUG 2024-08-08 07:32:02,399 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\asgiref\sync.py first seen with mtime 1721548311.4566119
DEBUG 2024-08-08 07:32:02,400 autoreload File C:\Python311\Lib\re\__init__.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,400 autoreload File C:\Users\777\Documents\project\shop\carts\views.py first seen with mtime 1723006253.856844
DEBUG 2024-08-08 07:32:02,401 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1721548315.6442957
DEBUG 2024-08-08 07:32:02,402 autoreload File C:\Python311\Lib\decimal.py first seen with mtime 1707248442.0
DEBUG 2024-08-08 07:32:02,403 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1721548314.525854
DEBUG 2024-08-08 07:32:02,403 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1721548312.7059453
DEBUG 2024-08-08 07:32:02,404 autoreload File C:\Users\777\Documents\project\djvenv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1721548315.628672
